Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPropertyValue(response, ""[0].vchCalle"", ""221"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.013s,PASSED
"verifyElementPropertyValue(response, ""[0].vchNoExterior"", ""22211"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.012s,PASSED
"verifyElementPropertyValue(response, ""[0].vchNoInterior"", """")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.012s,PASSED
"verifyElementPropertyValue(response, ""[0].vchLetra"", """")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.013s,PASSED
"verifyElementPropertyValue(response, ""[0].vchColonia"", ""LAS CANOAS                                                                                          "")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.012s,PASSED
"verifyElementPropertyValue(response, ""[0].vchLocalidad"", ""APATAUYAN                                                                                           "")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.012s,PASSED
"verifyElementPropertyValue(response, ""[0].vchMunicipio"", ""ATEMPAN                                                                                             "")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.013s,PASSED
"verifyElementPropertyValue(response, ""[0].vchComplemento"", ""PLACA= 13DGS2 #NIV= F25BKFA4903"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.012s,PASSED
"verifyElementPropertyValue(response, ""[0].vchDescCombustible"", ""GASOLINA  "")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].tiFirma"", 1)",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].vchPuestoFirma"", ""SECRETARIA DE PLANEACION Y FINANZAS"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].vchNombreFirma"", ""ACT.  MARIA TERESA CASTRO CORRO"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].vchPuestoFirma2"", ""SECRETARIO DE MOVILIDAD Y TRANSPORTE"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].vchNombreFirma2"", ""MTRO. GUILLERMO ARECHIGA SANTAMARIA"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].vchClaveVehicular"", ""2020517"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].vchEmpresa"", """")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].vchCURP"", ""SACC790503HVZNZR00"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].tiBan_cve_veh"", 2)",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].vchDesc_uso"", ""PARTICULAR                                        "")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].tiAsignacion"", 1)",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].vchMarca2"", ""FORD           "")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].vchLinea2"", ""F - 700                  "")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.013s,PASSED
"verifyElementPropertyValue(response, ""[0].vchTipo2"", ""153 LPG 28000 L"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.014s,PASSED
